company_id,company_name,SASB
3346,麗清,科技與通訊
3349,寶德,科技與通訊
3354,律勝,科技與通訊
3356,奇偶,資源轉化
3357,臺慶科,資源轉化
3360,尚立,科技與通訊
3362,先進光,科技與通訊
3363,上詮,資源轉化
3369,鐵研,科技與通訊
3372,典範,科技與通訊
3373,熱映,醫療保健
3374,精材,科技與通訊
3376,新日興,資源轉化
3379,彬台,資源轉化
3380,明泰,科技與通訊
3383,新世紀,科技與通訊
3386,新德科技,科技與通訊
3388,崇越電,科技與通訊
3390,旭軟,科技與通訊
3402,漢科,科技與通訊
3405,津綻石英,資源轉化
3406,玉晶光,科技與通訊
3413,京鼎,科技與通訊
3416,融程電,科技與通訊
3419,譁裕,科技與通訊
3426,台興,資源轉化
3430,奇鈦科,資源轉化
3432,台端,資源轉化
3434,哲固,科技與通訊
3437,榮創,科技與通訊
3438,類比科,科技與通訊
3441,聯一光,科技與通訊
3443,創意,科技與通訊
3444,利機,科技與通訊
3447,展達,科技與通訊
3450,聯鈞,科技與通訊
3454,晶睿,資源轉化
3455,由田,科技與通訊
3462,瑋鋒科技,資源轉化
3463,宏塑工業,科技與通訊
3465,進泰電子,資源轉化
3466,致振,科技與通訊
3472,友荃,消費品
3479,安勤,科技與通訊
3481,群創,科技與通訊
3483,力致,科技與通訊
3484,崧騰,資源轉化
3485,敘豐,資源轉化
3489,森寶,公共建設
3490,單井,資源轉化
3491,昇達科,資源轉化
3492,長盛,資源轉化
3494,誠研,消費品
3498,陽程,資源轉化
3499,環天科,科技與通訊
3501,維熹,資源轉化
3504,揚明光,科技與通訊
3507,力群,科技與通訊
3508,位速,科技與通訊
3509,聯禾,服務
3510,易鼎,科技與通訊
3511,矽瑪,資源轉化
3512,皇龍,公共建設
3515,華擎,科技與通訊
3516,亞帝歐,科技與通訊
3518,柏騰,資源轉化
3520,華盈,資源轉化
3521,鴻翊,科技與通訊
3522,御頂,食品與飲料
3523,迎輝,科技與通訊
3525,就業情報,服務
3526,凡甲,資源轉化
3527,聚積,科技與通訊
3528,安馳,科技與通訊
3529,力旺,科技與通訊
3530,晶相光,科技與通訊
3531,先益,科技與通訊
3532,台勝科,科技與通訊
3533,嘉澤,科技與通訊
3535,晶彩科,資源轉化
3536,誠創,科技與通訊
3537,堡達,科技與通訊
3539,隨身遊戲,服務
3540,曜越,科技與通訊
3541,西柏,科技與通訊
3543,州巧,科技與通訊
3545,敦泰,科技與通訊
3546,宇峻,科技與通訊
3548,兆利,科技與通訊
3550,聯穎,資源轉化
3551,世禾,科技與通訊
3552,同致,運輸
3554,精品,科技與通訊
3555,重鵬,科技與通訊
3556,禾瑞亞,科技與通訊
3557,嘉威,消費品
3558,神準,科技與通訊
3563,牧德,資源轉化
3564,其陽,科技與通訊
3567,逸昌,科技與通訊
3570,大塚,科技與通訊
3572,宏芯,科技與通訊
3576,聯合再生,可再生資源與替代能源
3577,泓格,資源轉化
3580,友威科,科技與通訊
3581,博磊,科技與通訊
3583,辛耘,科技與通訊
3585,聯致,科技與通訊
3587,閎康,服務
3588,通嘉,科技與通訊
3591,艾笛森,科技與通訊
3592,瑞鼎,科技與通訊
3593,力銘,科技與通訊
3594,磐儀,科技與通訊
3595,山太士,科技與通訊
3596,智易,科技與通訊
3597,映興,資源轉化
3601,前源,科技與通訊
3603,建祥國際,運輸
3605,宏致,科技與通訊
3607,谷崧,科技與通訊
3609,三一東林,資源轉化
3611,鼎翰,科技與通訊
3615,安可,科技與通訊
3617,碩天,科技與通訊
3622,洋華,科技與通訊
3623,富晶通,科技與通訊
3624,光頡,資源轉化
3625,西勝,科技與通訊
3627,華信科,科技與通訊
3628,盈正,科技與通訊
3629,地心引力,科技與通訊
3630,新鉅科,科技與通訊
3631,晟楠,資源轉化
3632,研勤,科技與通訊
3633,云光,科技與通訊
3642,駿熠電,科技與通訊
3645,達邁,科技與通訊
3646,艾恩特,資源轉化
3648,漢台科技,資源轉化
3652,精聯,科技與通訊
3653,健策,科技與通訊
3656,聯勝,科技與通訊
3659,百辰,科技與通訊
3661,世芯-KY,科技與通訊
3663,鑫科,公共建設
3664,安瑞-KY,科技與通訊
3665,貿聯-KY,科技與通訊
3666,光耀,科技與通訊
3669,圓展,科技與通訊
3672,康聯訊,科技與通訊
3673,TPK-KY,科技與通訊
3674,康訊,科技與通訊
3675,德微,科技與通訊
3678,聯享,科技與通訊
3679,新至陞,科技與通訊
3680,家登,科技與通訊
3682,亞太電,科技與通訊
3683,仲博科技,科技與通訊
3684,榮昌,科技與通訊
3685,元創精密,運輸
3686,達能,可再生資源與替代能源
3687,歐買尬,科技與通訊
3688,華立捷,科技與通訊
3689,湧德,科技與通訊
3691,碩禾,可再生資源與替代能源
3693,營邦,科技與通訊
3694,海華,科技與通訊
3701,大眾控,科技與通訊
3702,大聯大,科技與通訊
3703,欣陸,公共建設
3704,合勤控,科技與通訊
3705,永信,醫療保健
3706,神達,科技與通訊
3707,漢磊,科技與通訊
3708,上緯投控,資源轉化
3709,鑫聯大投控,消費品
3710,連展投控,科技與通訊
3711,日月光投控,科技與通訊
3712,永崴投控,科技與通訊
3713,新晶投控,可再生資源與替代能源
3714,富采,科技與通訊
3715,定穎投控,科技與通訊
4102,永日,醫療保健
4104,佳醫,醫療保健
4105,東洋,醫療保健
4106,雃博,醫療保健
